"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.093733250E0,-2.096122317E-2,7.767702937E-1,-5.345654860E-2,7.788896357E-1
2.103753250E0,-1.830418780E-2,6.573041081E-1,-5.134279653E-2,6.595603207E-1
2.113773250E0,-2.213088237E-2,5.368567705E-1,-4.576933384E-2,5.392585650E-1
2.123793250E0,-2.246367000E-2,4.083544016E-1,-4.668509960E-2,4.116277837E-1
2.133814250E0,-2.491457760E-2,2.954174578E-1,-4.195372760E-2,2.994199823E-1
2.143834250E0,-2.120295539E-2,1.655920893E-1,-3.896222264E-2,1.714303361E-1
2.153854250E0,-1.606145501E-2,2.624085173E-2,-3.248008713E-2,4.473822411E-2
2.163874250E0,-1.764355600E-2,-1.227061003E-1,-2.956385911E-2,1.274445130E-1
2.173895250E0,-1.838098466E-2,-2.661007941E-1,-2.592038922E-2,2.679913427E-1
2.183915250E0,-1.696613245E-2,-3.846044838E-1,-1.923379302E-2,3.854586845E-1
2.193935250E0,-1.149892900E-2,-5.059863329E-1,-1.533572376E-2,5.063492657E-1
2.203956250E0,-1.291051321E-2,-6.245620847E-1,-1.068585645E-2,6.247868969E-1
2.213976250E0,-5.454195198E-3,-7.422218919E-1,-5.540629383E-3,7.422626109E-1
2.223996250E0,-8.439090103E-3,-8.583021164E-1,3.623195807E-4,8.583436797E-1
2.234016250E0,-5.093093961E-3,-9.802584052E-1,6.606100593E-3,9.802938953E-1
2.244037250E0,-1.764409244E-3,-1.094736457E0,1.203681808E-2,1.094804050E0
2.254057250E0,-7.809037925E-4,-1.214877725E0,1.760921627E-2,1.215005589E0
2.264077250E0,2.322671935E-5,-1.345534205E0,2.451042458E-2,1.345757430E0
2.274098250E0,5.233967677E-3,-1.467233181E0,2.800129540E-2,1.467509685E0
2.284118250E0,6.648419891E-3,-1.562519073E0,2.887683734E-2,1.562800028E0
2.294138250E0,4.718427546E-3,-1.678021073E0,3.296852112E-2,1.678351545E0
2.304158250E0,5.633974448E-3,-1.783690810E0,3.899855167E-2,1.784125986E0
2.314179250E0,4.749272019E-3,-1.882350206E0,4.075091332E-2,1.882797252E0
2.324199250E0,1.061090548E-2,-1.983033180E0,4.177131131E-2,1.983501456E0
2.334219250E0,9.017003700E-3,-2.077641010E0,4.274363071E-2,2.078100212E0
2.344240250E0,8.964352310E-3,-2.166118860E0,4.303071648E-2,2.166564774E0
2.354260250E0,6.619705353E-3,-2.252421856E0,4.753225669E-2,2.252933056E0
2.364280250E0,3.549426794E-3,-2.336516380E0,4.741079733E-2,2.337000038E0
2.374300250E0,3.291632514E-3,-2.418623686E0,5.101938173E-2,2.419163977E0
2.384321250E0,2.818200737E-3,-2.494222164E0,5.032270402E-2,2.494731352E0
2.394341250E0,5.122633651E-3,-2.565329075E0,5.301436037E-2,2.565881920E0
2.404361250E0,3.982935566E-3,-2.634822607E0,5.433604121E-2,2.635385824E0
2.414382250E0,4.765638616E-3,-2.693564177E0,5.406173691E-2,2.694110866E0
2.424402250E0,6.621704902E-3,-2.640979052E0,5.508954450E-2,2.641561859E0
2.434422250E0,2.329754177E-3,-2.696372986E0,5.492922291E-2,2.696933430E0
2.444442250E0,1.530901063E-3,-2.711193323E0,5.777760968E-2,2.711809328E0
2.454463250E0,3.542652819E-3,-2.724939346E0,6.001226977E-2,2.725602404E0
2.464483250E0,-4.000216722E-4,-2.741846085E0,5.820082128E-2,2.742463755E0
2.474503250E0,5.428306293E-3,-2.742223978E0,5.821466818E-2,2.742847200E0
2.484524333E0,2.711242065E-3,-2.752894163E0,5.941680074E-2,2.753536631E0
2.494544333E0,1.844116719E-3,-2.746292114E0,5.903996527E-2,2.746927282E0
2.504564333E0,-8.454243653E-4,-2.742449999E0,6.097354740E-2,2.743127865E0
2.514584333E0,1.305344398E-3,-2.722122431E0,5.816417933E-2,2.722744076E0
2.524605333E0,2.792126499E-3,-2.708301783E0,5.615710095E-2,2.708885373E0
2.534625333E0,-4.157392308E-3,-2.690638542E0,5.341644213E-2,2.691171931E0
2.544645333E0,-3.038883395E-2,-2.775541782E0,3.434985876E-2,2.775920672E0
2.554666333E0,1.716905390E-3,-2.628253937E0,6.358391047E-2,2.629023510E0
2.564686333E0,-1.549247536E-3,-2.578082800E0,6.662198156E-2,2.578943933E0
2.574706333E0,2.307009650E-3,-2.518358469E0,6.934399903E-2,2.519314052E0
2.584726333E0,-3.278332297E-3,-2.456505299E0,7.495956123E-2,2.457650904E0
2.594747333E0,-5.087683909E-3,-2.384003401E0,7.506316155E-2,2.385190260E0
2.604767333E0,-9.429735132E-3,-2.321791410E0,7.892554253E-2,2.323151634E0
2.614787333E0,-7.990296930E-3,-2.238752127E0,8.238258958E-2,2.240281639E0
2.624808333E0,-1.378490962E-2,-2.154646397E0,8.538971841E-2,2.156381813E0
2.634828333E0,-1.479291636E-2,-2.069087267E0,8.663661033E-2,2.070953126E0
2.644848333E0,-2.761096135E-2,-1.988948941E0,8.277525753E-2,1.990862125E0
2.654869333E0,-3.151169047E-2,-1.907874227E0,8.848214895E-2,1.910184845E0
2.664889333E0,-3.432873264E-2,-1.825755358E0,9.033379704E-2,1.828311047E0
2.674909333E0,-4.058769345E-2,-1.745439410E0,9.496184438E-2,1.748491878E0
2.684929333E0,-3.238954023E-2,-1.606214285E0,1.088210493E-1,1.610222169E0
2.694950333E0,-7.746246643E-3,-1.452746391E0,1.215504333E-1,1.457843129E0
2.704970333E0,-1.929109171E-2,-1.340528369E0,1.261654943E-1,1.346590579E0
2.714990333E0,-2.166050673E-2,-1.221985221E0,1.309978068E-1,1.229177564E0
2.725011333E0,2.580455039E-4,-1.058578849E0,8.244943619E-2,1.061784891E0
2.735031333E0,-2.629952878E-2,-9.306599498E-1,8.563590795E-2,9.349615586E-1
2.745051333E0,-1.640517265E-2,-8.008390069E-1,9.006235749E-2,8.060542618E-1
2.755072333E0,-1.339447033E-2,-6.727846861E-1,9.377507120E-2,6.794206426E-1
2.765092333E0,-1.652478427E-2,-5.479872823E-1,9.409641474E-2,5.562528789E-1
2.775112333E0,-1.673517376E-2,-4.213494360E-1,9.549617767E-2,4.323597267E-1
2.785132333E0,-1.278273016E-2,-2.940340936E-1,9.672147036E-2,3.097974971E-1
2.795153333E0,-1.280296966E-2,-1.702559739E-1,9.406044334E-2,1.949317309E-1
2.805173333E0,-1.004523970E-2,-3.472397476E-2,9.370821714E-2,1.004384947E-1
2.815193333E0,-5.396692082E-3,8.976602554E-2,8.893663436E-2,1.264784114E-1
2.825214333E0,2.560248831E-4,2.215917557E-1,8.680698276E-2,2.379882855E-1
2.835234333E0,3.247020766E-3,3.468045294E-1,7.964520901E-2,3.558472764E-1
2.845254333E0,9.075222537E-3,4.770925939E-1,7.581570745E-2,4.831642830E-1
2.855275333E0,1.390939206E-2,6.027783751E-1,6.298139691E-2,6.062193473E-1
2.865295333E0,1.992953941E-2,7.269436717E-1,5.204159394E-2,7.290765501E-1
2.875315333E0,2.479646541E-2,8.531652093E-1,4.016789049E-2,8.544701273E-1
2.885335333E0,3.141075000E-2,9.766509533E-1,2.785179205E-2,9.775527823E-1
2.895356333E0,3.748675063E-2,1.108767152E0,1.260705758E-2,1.109472303E0
2.905376333E0,4.303551465E-2,1.229543805E0,-6.010109559E-3,1.230311402E0
2.915396333E0,4.352846742E-2,1.344504714E0,-2.436248586E-2,1.345429740E0
2.925417333E0,4.976614565E-2,1.458843470E0,-4.084280133E-2,1.460263357E0
2.935437333E0,5.265780538E-2,1.567804933E0,-5.525716022E-2,1.569661908E0
2.945457333E0,5.858433619E-2,1.672438502E0,-7.042831928E-2,1.674945616E0
2.955478333E0,5.985785648E-2,1.776331306E0,-7.653921098E-2,1.778986824E0
2.965498333E0,6.096663699E-2,1.874614954E0,-8.734709769E-2,1.877638856E0
2.975518333E0,6.020870060E-2,1.971396327E0,-9.471605718E-2,1.974588488E0
2.985539333E0,5.883061513E-2,2.066250086E0,-9.831571579E-2,2.069424180E0
2.995559333E0,5.777493864E-2,2.156869173E0,-1.058439389E-1,2.160237374E0
3.005579333E0,5.793393403E-2,2.242180109E0,-1.092134863E-1,2.245585796E0
3.015599333E0,5.521990359E-2,2.330067635E0,-1.162607446E-1,2.333619716E0
3.025620333E0,5.159925669E-2,2.411738634E0,-1.242235005E-1,2.415486949E0
3.035640333E0,4.661568627E-2,2.483724117E0,-1.164401472E-1,2.486888984E0
3.045660333E0,4.773320630E-2,2.545763969E0,-1.208220571E-1,2.549076424E0
3.055681333E0,4.325297102E-2,2.619075298E0,-1.259555817E-1,2.622458969E0
3.065701333E0,4.472311214E-2,2.676036358E0,-1.341250092E-1,2.679768696E0
3.075721333E0,5.459092557E-2,2.657791376E0,-1.452048272E-1,2.662314709E0
3.085742333E0,6.359782070E-2,2.686588526E0,-1.576438546E-1,2.691961028E0
3.095762333E0,5.508342758E-2,2.729299545E0,-1.431666464E-1,2.733606936E0
3.105782333E0,7.772602141E-2,2.746771812E0,-1.542681754E-1,2.752198284E0
3.115803333E0,4.221943393E-2,2.751646757E0,-6.181653589E-2,2.752664825E0
3.125823333E0,6.836199015E-2,2.776588917E0,-2.854409441E-2,2.777577027E0
3.135843333E0,4.347154871E-2,2.717136383E0,-8.638475835E-2,2.718856787E0
